Estación,Código,Región,Departamento,Municipio,Latitude,Longitude,Altitude
Huehuetenango,,,,,15.31828,-91.502403,
Todos Santos Cuchumatanes,,,,,15.5080222,-91.6003111,
San Pedro Nécta,,,,,15.49459,-91.76244,
Ixchiguán,,,,,15.16483,-91.9395,
EFA San Marcos,,,,,14.96715,-91.82333,
Pachuté,,,,,14.98341,-91.57365,
Los Altos,,,,,14.8599015,-91.50807279,
ICTA Labor Ovalle,,,,,14.871334,-91.514438,
San Martin Jilotepeque,,,,,14.78,-90.79,
Santa Cruz Quiché,,,,,15.05016,-91.15395,
Alameda Icta,,,,,14.637936,-90.803967,
Suiza Contenta,,,,,14.618572,-90.659128,
Santa Cruz Balanya,,,,,14.68944,-90.91722,
Chinique,,,,,15.04675,-91.019608,
Totonicapán,,,,,14.91082,-91.36441,
