No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,15.8,15.7,15.8,96.0,96.0,96.0,0.0,0.0,0.0,270.0,0.4,29.0,101.6,829.7,829.7,829.7,25.0,21.6,0.7,-1.9,45.6,14.637936,-90.803967,2023-08-03 00:00:00
2,00:05:00,15.7,15.7,15.7,96.0,96.0,96.0,0.0,0.0,0.0,270.0,0.0,29.0,101.6,829.7,829.7,829.7,25.0,21.6,0.7,-2.0,45.6,14.637936,-90.803967,2023-08-03 00:05:00
3,00:10:00,15.7,15.7,15.7,96.0,96.0,96.0,0.0,0.0,0.0,270.0,0.0,29.0,101.6,829.7,829.7,829.7,25.0,21.6,0.7,-2.0,45.6,14.637936,-90.803967,2023-08-03 00:10:00
4,00:15:00,15.7,15.7,15.7,96.0,96.0,96.0,0.1,0.0,2.3,8.0,0.0,29.0,101.6,829.6,829.6,829.6,25.0,21.5,0.7,-2.4,45.6,14.637936,-90.803967,2023-08-03 00:15:00
5,00:20:00,15.7,15.7,15.7,96.0,96.0,96.0,2.3,1.2,3.3,7.0,0.0,29.0,101.6,829.6,829.6,829.6,25.0,21.5,0.8,-1.8,45.6,14.637936,-90.803967,2023-08-03 00:20:00
6,00:25:00,15.7,15.6,15.7,96.0,96.0,96.0,1.3,0.0,4.0,10.0,0.0,29.0,101.6,829.5,829.5,829.5,25.0,21.5,0.7,-2.0,45.6,14.637936,-90.803967,2023-08-03 00:25:00
7,00:30:00,15.6,15.6,15.7,96.0,96.0,96.0,1.3,0.0,1.3,12.0,0.0,29.0,101.6,829.4,829.4,829.4,25.0,21.5,0.8,-1.9,45.6,14.637936,-90.803967,2023-08-03 00:30:00
8,00:35:00,15.6,15.6,15.6,96.0,96.0,96.0,0.6,0.0,0.0,355.0,0.0,29.0,101.6,829.4,829.4,829.4,25.0,21.5,0.8,-1.9,45.6,14.637936,-90.803967,2023-08-03 00:35:00
9,00:40:00,15.6,15.5,15.6,96.0,96.0,96.0,0.0,0.0,0.0,270.0,0.0,29.0,101.6,829.3,829.3,829.3,25.0,21.5,0.7,-2.1,45.6,14.637936,-90.803967,2023-08-03 00:40:00
10,00:45:00,15.5,15.4,15.5,96.0,96.0,96.0,0.2,0.0,0.0,7.0,0.0,29.0,101.6,829.3,829.2,829.2,25.0,21.5,0.7,-1.9,45.6,14.637936,-90.803967,2023-08-03 00:45:00
11,00:50:00,15.3,15.3,15.4,96.0,96.0,96.0,0.3,0.0,0.0,7.0,0.0,29.0,101.6,829.1,829.0,829.0,25.0,21.5,0.7,-1.9,45.6,14.637936,-90.803967,2023-08-03 00:50:00
12,00:55:00,15.3,15.3,15.3,97.0,96.0,97.0,1.0,0.0,2.4,252.0,0.0,29.0,101.6,829.0,829.0,829.0,25.0,21.5,0.7,-1.6,45.6,14.637936,-90.803967,2023-08-03 00:55:00
13,01:00:00,15.3,15.3,15.3,97.0,97.0,97.0,2.3,1.5,1.8,265.0,0.0,29.0,101.6,828.9,828.9,828.9,25.0,21.5,0.8,-0.5,45.6,14.637936,-90.803967,2023-08-03 01:00:00
14,01:05:00,15.4,15.3,15.4,97.0,97.0,97.0,2.2,1.0,2.0,275.0,0.0,29.0,101.6,828.9,828.8,828.8,25.0,21.4,0.8,-0.1,45.6,14.637936,-90.803967,2023-08-03 01:05:00
15,01:10:00,15.4,15.4,15.5,97.0,97.0,97.0,2.3,1.1,2.1,287.0,0.0,29.0,101.6,828.8,828.8,828.8,25.0,21.4,0.8,0.2,45.6,14.637936,-90.803967,2023-08-03 01:10:00
16,01:15:00,15.7,15.6,15.8,97.0,97.0,97.0,3.1,1.0,1.3,316.0,0.0,29.0,101.6,828.8,828.8,828.8,25.0,21.4,0.8,-0.2,45.6,14.637936,-90.803967,2023-08-03 01:15:00
17,01:20:00,15.9,15.8,15.9,97.0,97.0,97.0,1.6,0.0,1.5,353.0,0.0,29.0,101.6,828.8,828.8,828.8,25.0,21.4,0.8,-0.3,45.6,14.637936,-90.803967,2023-08-03 01:20:00
18,01:25:00,16.0,15.9,16.0,97.0,97.0,97.0,2.4,0.0,3.0,6.0,0.0,29.0,101.6,828.7,828.7,828.7,25.0,21.4,0.8,-0.6,45.6,14.637936,-90.803967,2023-08-03 01:25:00
19,01:30:00,16.1,16.0,16.1,97.0,97.0,97.0,3.0,1.6,2.1,11.0,0.0,29.0,101.6,828.7,828.7,828.7,25.0,21.4,0.8,-1.3,45.6,14.637936,-90.803967,2023-08-03 01:30:00
20,01:35:00,16.1,16.1,16.1,97.0,97.0,97.0,2.0,0.0,3.7,20.0,0.0,29.0,101.6,828.6,828.6,828.6,25.0,21.3,0.8,-0.8,45.6,14.637936,-90.803967,2023-08-03 01:35:00
21,01:40:00,16.2,16.1,16.2,97.0,97.0,97.0,3.7,1.4,6.8,5.0,0.0,29.0,101.6,828.6,828.6,828.6,25.0,21.4,0.8,-0.7,45.6,14.637936,-90.803967,2023-08-03 01:40:00
22,01:45:00,16.2,16.2,16.2,97.0,97.0,97.0,4.2,1.2,8.9,14.0,0.0,29.0,101.6,828.5,828.4,828.4,25.0,21.3,0.8,-0.9,45.6,14.637936,-90.803967,2023-08-03 01:45:00
23,01:50:00,16.2,16.2,16.2,97.0,97.0,97.0,4.8,2.1,6.4,353.0,0.0,29.0,101.6,828.3,828.3,828.3,25.0,21.3,0.8,-0.7,45.6,14.637936,-90.803967,2023-08-03 01:50:00
24,01:55:00,16.2,16.2,16.2,97.0,97.0,97.0,3.7,0.0,2.2,13.0,0.0,29.0,101.6,828.3,828.3,828.3,25.0,21.3,0.8,-0.4,45.6,14.637936,-90.803967,2023-08-03 01:55:00
25,02:00:00,16.2,16.2,16.2,97.0,97.0,97.0,1.9,0.0,3.3,10.0,0.0,29.0,101.6,828.3,828.3,828.3,25.0,21.3,0.8,-0.1,45.6,14.637936,-90.803967,2023-08-03 02:00:00
26,02:05:00,16.3,16.3,16.3,97.0,97.0,97.0,2.0,0.0,5.3,352.0,0.0,29.0,101.6,828.2,828.1,828.1,25.0,21.3,0.8,-0.1,45.6,14.637936,-90.803967,2023-08-03 02:05:00
27,02:10:00,16.3,16.3,16.4,97.0,97.0,97.0,3.8,1.0,4.2,360.0,0.0,29.0,101.6,828.1,828.0,828.0,25.0,21.3,0.8,-0.2,45.6,14.637936,-90.803967,2023-08-03 02:10:00
