No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,datetime
1,00:00:00,15.3,15.3,15.4,79.0,78.0,80.0,5.0,0.0,10.8,191.0,0.0,8.4,178.5,776.2,776.1,776.3,24.0,18.6,0.2,-0.7,0.0,2023-08-03 00:00:00
2,00:05:00,15.5,15.3,15.5,76.0,76.0,78.0,7.6,1.1,10.4,197.0,0.0,8.4,178.5,776.1,776.1,776.2,24.0,18.6,0.2,-0.4,0.0,2023-08-03 00:05:00
3,00:10:00,15.7,15.5,15.7,75.0,75.0,76.0,2.5,1.4,19.4,46.0,0.0,8.4,178.5,776.1,776.1,776.1,24.0,18.6,0.2,-0.7,0.0,2023-08-03 00:10:00
4,00:15:00,15.7,15.7,15.9,76.0,74.0,76.0,3.6,0.0,7.6,196.0,0.0,8.4,178.5,776.1,776.0,776.1,24.0,18.6,0.2,-1.8,0.0,2023-08-03 00:15:00
5,00:20:00,15.5,15.5,15.7,77.0,76.0,77.0,2.5,0.0,13.3,169.0,0.0,8.4,178.5,776.0,775.9,776.0,24.0,18.6,0.2,-1.4,0.0,2023-08-03 00:20:00
6,00:25:00,15.4,15.4,15.5,78.0,78.0,78.0,4.7,0.0,5.8,165.0,0.0,8.4,178.5,775.9,775.9,776.0,24.0,18.6,0.2,-1.3,0.0,2023-08-03 00:25:00
7,00:30:00,15.3,15.3,15.4,78.0,78.0,79.0,3.6,0.0,7.2,192.0,0.0,8.4,178.5,775.8,775.8,775.9,24.0,18.6,0.2,-1.3,0.0,2023-08-03 00:30:00
8,00:35:00,15.3,15.3,15.3,78.0,77.0,78.0,4.3,2.5,13.0,184.0,0.0,8.4,178.5,775.7,775.7,775.8,24.0,18.6,0.2,-1.4,0.0,2023-08-03 00:35:00
9,00:40:00,15.6,15.3,15.6,75.0,75.0,77.0,3.6,0.0,13.0,178.0,0.0,8.4,178.5,775.8,775.7,775.8,24.0,18.6,0.2,-0.8,0.0,2023-08-03 00:40:00
10,00:45:00,15.7,15.6,15.7,75.0,74.0,75.0,0.0,0.0,7.6,0.0,0.0,8.4,178.5,775.7,775.7,775.8,24.0,18.6,0.2,-0.9,0.0,2023-08-03 00:45:00
11,00:50:00,15.6,15.6,15.7,76.0,75.0,76.0,0.0,0.0,1.4,0.0,0.0,8.4,178.5,775.6,775.6,775.7,24.0,18.6,0.2,-1.9,0.0,2023-08-03 00:50:00
12,00:55:00,15.4,15.4,15.6,78.0,76.0,78.0,1.8,0.0,3.6,175.0,0.0,8.4,178.5,775.5,775.5,775.7,24.0,18.6,0.2,-3.0,0.0,2023-08-03 00:55:00
13,01:00:00,15.2,15.2,15.3,78.0,78.0,79.0,0.0,0.0,1.4,0.0,0.0,8.4,178.5,775.6,775.5,775.7,24.0,18.6,0.2,-2.7,0.0,2023-08-03 01:00:00
14,01:05:00,15.0,15.0,15.2,80.0,78.0,80.0,1.4,0.0,2.5,108.0,0.0,8.4,178.5,775.5,775.5,775.5,24.0,18.6,0.2,-2.5,0.0,2023-08-03 01:05:00
15,01:10:00,14.8,14.8,15.0,80.0,80.0,82.0,1.1,0.0,4.3,96.0,0.0,8.4,178.5,775.5,775.3,775.5,24.0,18.6,0.2,-2.6,0.0,2023-08-03 01:10:00
16,01:15:00,14.7,14.7,14.8,81.0,81.0,81.0,1.4,0.0,3.2,170.0,0.0,8.4,178.5,775.3,775.3,775.4,24.0,18.6,0.2,-2.5,0.0,2023-08-03 01:15:00
17,01:20:00,14.6,14.6,14.7,80.0,80.0,81.0,1.8,0.0,3.2,191.0,0.0,8.4,178.5,775.3,775.2,775.4,24.0,18.6,0.2,-2.8,0.0,2023-08-03 01:20:00
18,01:25:00,14.7,14.6,14.7,80.0,79.0,80.0,3.2,0.0,13.3,96.0,0.0,8.4,178.5,775.3,775.2,775.3,24.0,18.6,0.2,-2.0,0.0,2023-08-03 01:25:00
19,01:30:00,14.8,14.8,14.8,79.0,79.0,79.0,1.4,0.0,8.3,215.0,0.0,8.4,178.5,775.2,775.1,775.2,24.0,18.6,0.2,-1.9,0.0,2023-08-03 01:30:00
20,01:35:00,14.8,14.8,14.8,80.0,79.0,80.0,2.5,0.0,4.3,332.0,0.0,8.4,178.5,775.2,775.2,775.3,24.0,18.6,0.2,-2.2,0.0,2023-08-03 01:35:00
21,01:40:00,14.3,14.3,14.7,85.0,81.0,85.0,1.8,0.0,6.5,331.0,0.0,8.4,178.5,775.0,775.0,775.2,24.0,18.6,0.2,-3.0,0.0,2023-08-03 01:40:00
22,01:45:00,14.0,14.0,14.2,86.0,86.0,86.0,1.8,0.0,3.6,197.0,0.0,8.4,178.5,775.0,775.0,775.1,24.0,18.6,0.2,-2.9,0.0,2023-08-03 01:45:00
23,01:50:00,13.9,13.9,14.0,86.0,85.0,86.0,2.9,0.0,5.0,311.0,0.0,8.4,178.5,775.0,775.0,775.1,24.0,18.6,0.2,-1.7,0.0,2023-08-03 01:50:00
24,01:55:00,13.9,13.9,14.0,88.0,85.0,88.0,2.9,0.0,3.6,330.0,0.0,8.4,178.5,775.0,774.9,775.0,24.0,18.6,0.2,-2.6,0.0,2023-08-03 01:55:00
25,02:00:00,13.7,13.7,13.8,88.0,88.0,89.0,1.1,0.0,2.5,282.0,0.0,8.4,178.5,774.9,774.9,774.9,24.0,18.6,0.2,-2.3,0.0,2023-08-03 02:00:00
26,02:05:00,13.6,13.6,13.7,88.0,87.0,89.0,2.9,0.0,4.3,267.0,0.0,8.4,178.5,774.8,774.8,774.9,24.0,18.6,0.2,-2.4,0.0,2023-08-03 02:05:00
27,02:10:00,13.7,13.6,13.7,85.0,85.0,87.0,2.5,0.0,4.3,252.0,0.0,8.4,178.5,774.9,774.8,774.9,24.0,18.6,0.3,-1.4,0.0,2023-08-03 02:10:00
28,02:15:00,13.6,13.6,13.8,89.0,85.0,89.0,0.0,0.0,5.0,0.0,0.0,8.4,178.5,774.9,774.8,774.9,24.0,18.6,0.3,-2.3,0.0,2023-08-03 02:15:00
29,02:20:00,13.5,13.5,13.7,90.0,88.0,90.0,1.4,0.0,2.2,349.0,0.0,8.4,178.5,774.9,774.8,774.9,24.0,18.6,0.3,-1.4,0.0,2023-08-03 02:20:00
30,02:25:00,13.4,13.4,13.5,91.0,90.0,91.0,2.5,0.0,2.9,57.0,0.0,8.4,178.5,774.8,774.8,774.8,24.0,18.6,0.3,-1.6,0.0,2023-08-03 02:25:00
31,02:30:00,13.3,13.3,13.4,92.0,91.0,92.0,3.2,0.0,3.6,281.0,0.0,8.4,178.5,774.8,774.7,774.8,24.0,18.6,0.4,-1.5,0.0,2023-08-03 02:30:00
32,02:35:00,13.2,13.2,13.2,92.0,91.0,92.0,2.2,0.0,4.3,83.0,0.0,8.4,178.5,774.7,774.7,774.8,24.0,18.6,0.4,-1.0,0.0,2023-08-03 02:35:00
33,02:40:00,13.1,13.1,13.2,93.0,92.0,93.0,0.0,0.0,2.9,0.0,0.0,8.4,178.5,774.9,774.8,774.9,24.0,18.6,0.4,-1.4,0.0,2023-08-03 02:40:00
34,02:45:00,13.3,13.1,13.3,89.0,89.0,93.0,0.0,0.0,5.0,0.0,0.0,8.4,178.5,774.8,774.8,774.9,24.0,18.6,0.3,0.1,0.0,2023-08-03 02:45:00
35,02:50:00,13.4,13.4,13.4,92.0,89.0,92.0,0.0,0.0,2.9,0.0,0.0,8.4,178.5,774.9,774.9,775.0,24.0,18.6,0.3,-1.4,0.0,2023-08-03 02:50:00
36,02:55:00,13.2,13.2,13.4,92.0,91.0,92.0,1.4,0.0,3.6,325.0,0.0,8.4,178.5,774.8,774.8,774.9,24.0,18.6,0.3,-1.1,0.0,2023-08-03 02:55:00
37,03:00:00,13.1,13.1,13.2,92.0,92.0,93.0,3.6,0.0,4.3,319.0,0.0,8.4,178.5,774.8,774.8,774.9,24.0,18.6,0.3,-1.1,0.0,2023-08-03 03:00:00
