No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,datetime
1,00:00:00,12.7,12.6,12.7,82.0,82.0,83.0,1.4,0.0,11.9,320.0,0.0,18.8,156.6,752.3,752.1,752.3,38.0,17.0,0.2,-2.6,0.0,2023-08-03 00:00:00
2,00:15:00,12.8,12.8,12.8,84.0,82.0,84.0,0.0,0.0,7.6,0.0,0.0,18.8,156.6,752.2,752.2,752.3,38.0,17.0,0.2,-1.8,0.0,2023-08-03 00:15:00
3,00:20:00,12.5,12.5,12.7,84.0,84.0,85.0,2.9,0.0,9.7,95.0,0.0,18.8,156.6,752.1,752.1,752.2,38.0,17.0,0.2,-1.7,0.0,2023-08-03 00:20:00
4,00:25:00,12.3,12.3,12.4,85.0,85.0,85.0,1.1,0.0,3.2,133.0,0.0,18.8,156.6,752.1,752.1,752.1,38.0,17.0,0.2,-1.3,0.0,2023-08-03 00:25:00
5,00:30:00,12.3,12.3,12.3,86.0,85.0,86.0,1.4,0.0,3.2,43.0,0.0,18.8,156.6,752.1,752.1,752.1,38.0,17.0,0.2,-1.0,0.0,2023-08-03 00:30:00
6,00:35:00,12.3,12.3,12.3,85.0,85.0,85.0,1.4,0.0,4.3,82.0,0.0,18.8,156.6,752.0,752.0,752.1,38.0,17.0,0.2,-0.8,0.0,2023-08-03 00:35:00
7,00:40:00,12.4,12.3,12.4,85.0,85.0,86.0,2.2,0.0,3.6,117.0,0.0,18.8,156.6,752.0,752.0,752.1,38.0,17.0,0.2,-0.9,0.0,2023-08-03 00:40:00
8,00:45:00,12.4,12.4,12.4,85.0,85.0,86.0,1.1,0.0,4.0,172.0,0.0,18.8,156.6,751.9,751.9,752.0,38.0,17.0,0.2,-1.0,0.0,2023-08-03 00:45:00
9,00:50:00,12.3,12.3,12.4,87.0,85.0,87.0,1.4,0.0,3.2,308.0,0.0,18.8,156.6,751.7,751.7,751.8,38.0,17.0,0.2,-1.4,0.0,2023-08-03 00:50:00
10,00:55:00,12.4,12.2,12.4,86.0,86.0,87.0,4.0,0.0,8.3,207.0,0.0,18.8,156.6,751.7,751.7,751.8,38.0,16.9,0.2,-1.8,0.0,2023-08-03 00:55:00
11,01:00:00,12.4,12.3,12.4,85.0,85.0,85.0,2.2,0.0,4.0,82.0,0.0,18.8,156.6,751.6,751.6,751.6,38.0,17.0,0.2,-2.1,0.0,2023-08-03 01:00:00
12,01:05:00,12.4,12.3,12.4,85.0,85.0,85.0,1.4,0.0,5.4,171.0,0.0,18.8,156.6,751.6,751.6,751.7,38.0,17.0,0.2,-1.8,0.0,2023-08-03 01:05:00
13,01:10:00,12.2,12.2,12.4,86.0,86.0,86.0,2.2,0.0,7.6,106.0,0.0,18.8,156.6,751.5,751.5,751.6,38.0,16.9,0.2,-2.0,0.0,2023-08-03 01:10:00
14,01:15:00,12.1,12.1,12.2,86.0,86.0,86.0,1.4,0.0,8.3,145.0,0.0,18.8,156.6,751.6,751.5,751.6,38.0,17.0,0.2,-1.6,0.0,2023-08-03 01:15:00
15,01:20:00,12.2,12.1,12.2,86.0,86.0,86.0,6.8,0.0,8.3,82.0,0.0,18.8,156.6,751.5,751.5,751.6,38.0,17.0,0.2,-0.7,0.0,2023-08-03 01:20:00
16,01:25:00,12.4,12.2,12.4,85.0,84.0,86.0,2.5,0.0,7.2,124.0,0.0,18.8,156.6,751.5,751.4,751.5,38.0,16.9,0.2,-0.7,0.0,2023-08-03 01:25:00
17,01:30:00,12.4,12.4,12.4,85.0,85.0,85.0,1.4,0.0,5.4,261.0,0.0,18.8,156.6,751.4,751.4,751.5,38.0,16.9,0.2,-0.9,0.0,2023-08-03 01:30:00
18,01:35:00,12.4,12.4,12.4,84.0,84.0,85.0,2.2,0.0,3.2,9.0,0.0,18.8,156.6,751.4,751.4,751.5,38.0,16.9,0.2,-1.1,0.0,2023-08-03 01:35:00
19,01:40:00,12.4,12.4,12.4,84.0,84.0,85.0,2.5,0.0,4.7,69.0,0.0,18.8,156.6,751.3,751.3,751.4,38.0,16.9,0.2,-0.6,0.0,2023-08-03 01:40:00
20,01:45:00,12.4,12.4,12.4,85.0,84.0,85.0,5.0,2.2,6.8,68.0,0.0,18.8,156.6,751.3,751.3,751.4,38.0,16.9,0.2,-0.8,0.0,2023-08-03 01:45:00
21,01:50:00,12.4,12.4,12.4,84.0,83.0,84.0,2.2,0.0,7.2,132.0,0.0,18.8,156.6,751.3,751.3,751.3,38.0,16.9,0.2,-0.5,0.0,2023-08-03 01:50:00
22,01:55:00,12.2,12.2,12.5,85.0,84.0,85.0,2.5,0.0,7.6,125.0,0.0,18.8,156.6,751.2,751.2,751.3,38.0,16.9,0.2,-1.2,0.0,2023-08-03 01:55:00
23,02:00:00,12.3,12.2,12.3,84.0,84.0,85.0,3.6,1.4,7.6,112.0,0.0,18.8,156.6,751.2,751.1,751.2,38.0,16.9,0.2,-1.3,0.0,2023-08-03 02:00:00
24,02:05:00,12.4,12.3,12.4,83.0,83.0,84.0,5.8,1.4,6.1,65.0,0.0,18.8,156.6,751.1,751.1,751.2,38.0,16.9,0.2,-0.9,0.0,2023-08-03 02:05:00
25,02:10:00,12.4,12.4,12.5,84.0,83.0,84.0,2.9,1.1,7.9,73.0,0.0,18.8,156.6,751.0,751.0,751.2,38.0,16.9,0.2,-1.3,0.0,2023-08-03 02:10:00
26,02:15:00,12.4,12.4,12.4,83.0,83.0,83.0,2.9,0.0,4.3,73.0,0.0,18.8,156.6,751.0,751.0,751.1,38.0,16.9,0.2,-1.2,0.0,2023-08-03 02:15:00
27,02:20:00,12.4,12.4,12.5,84.0,82.0,84.0,2.9,1.4,6.1,115.0,0.0,18.8,156.6,751.0,751.0,751.1,38.0,16.9,0.2,-1.6,0.0,2023-08-03 02:20:00
28,02:25:00,12.1,12.1,12.2,85.0,85.0,85.0,2.9,0.0,7.2,81.0,0.0,18.8,156.6,751.0,751.0,751.1,38.0,16.9,0.2,-1.7,0.0,2023-08-03 02:25:00
29,02:30:00,12.1,12.0,12.1,85.0,84.0,85.0,2.5,1.1,5.4,113.0,0.0,18.8,156.6,751.0,751.0,751.0,38.0,16.9,0.2,-1.6,0.0,2023-08-03 02:30:00
30,02:35:00,12.1,12.1,12.1,84.0,84.0,85.0,2.5,0.0,5.8,107.0,0.0,18.8,156.6,751.1,751.0,751.1,38.0,16.9,0.2,-1.5,0.0,2023-08-03 02:35:00
31,02:40:00,12.1,12.0,12.1,84.0,84.0,85.0,2.5,0.0,6.1,69.0,0.0,18.8,156.6,751.1,751.1,751.1,38.0,16.9,0.2,-1.3,0.0,2023-08-03 02:40:00
32,02:45:00,12.1,12.1,12.1,85.0,84.0,85.0,2.2,0.0,2.9,110.0,0.0,18.8,156.6,751.2,751.0,751.2,38.0,16.9,0.2,-1.5,0.0,2023-08-03 02:45:00
33,02:50:00,12.1,12.0,12.1,85.0,84.0,85.0,3.6,0.0,5.8,58.0,0.0,18.8,156.6,751.1,751.1,751.2,38.0,16.9,0.2,-1.3,0.0,2023-08-03 02:50:00
