No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,12.8,12.7,12.8,86.0,86.0,86.0,2.8,1.3,1.9,44.0,1.6,42.2,85.0,757.4,757.4,757.4,29.0,17.8,2.6,-1.1,60.6,14.96715,-91.82333,2023-08-03 00:00:00
2,00:05:00,12.7,12.7,12.7,85.0,85.0,86.0,2.5,0.0,2.6,53.0,0.0,42.2,85.0,757.4,757.4,757.4,29.0,17.8,2.6,-1.0,60.6,14.96715,-91.82333,2023-08-03 00:05:00
3,00:10:00,12.7,12.7,12.8,85.0,84.0,85.0,2.8,0.0,2.3,66.0,0.0,42.2,85.0,757.3,757.3,757.3,29.0,17.8,2.5,-1.0,60.6,14.96715,-91.82333,2023-08-03 00:10:00
4,00:15:00,12.7,12.7,12.8,84.0,84.0,85.0,3.2,0.9,3.9,46.0,0.0,42.2,85.0,757.3,757.4,757.4,29.0,17.8,2.5,-0.4,60.6,14.96715,-91.82333,2023-08-03 00:15:00
5,00:20:00,12.7,12.7,12.7,85.0,85.0,85.0,4.4,1.8,4.6,35.0,0.0,42.2,85.0,757.4,757.3,757.3,29.0,17.8,2.5,-0.2,60.6,14.96715,-91.82333,2023-08-03 00:20:00
6,00:25:00,12.8,12.7,12.8,84.0,84.0,85.0,3.4,1.7,2.1,39.0,0.0,42.2,85.0,757.3,757.3,757.3,29.0,17.8,2.5,-0.3,60.6,14.96715,-91.82333,2023-08-03 00:25:00
7,00:30:00,12.8,12.7,12.8,84.0,84.0,85.0,2.7,0.0,1.1,46.0,0.0,42.2,85.0,757.2,757.1,757.1,29.0,17.8,2.5,-2.4,60.6,14.96715,-91.82333,2023-08-03 00:30:00
8,00:35:00,12.7,12.6,12.7,84.0,84.0,84.0,3.4,0.7,3.5,40.0,0.0,42.2,85.0,757.1,757.1,757.1,29.0,17.8,2.5,-2.3,60.6,14.96715,-91.82333,2023-08-03 00:35:00
9,00:40:00,12.6,12.6,12.6,84.0,84.0,84.0,4.0,0.0,7.0,39.0,0.0,42.2,85.0,757.1,757.1,757.1,29.0,17.8,2.5,-1.7,60.6,14.96715,-91.82333,2023-08-03 00:40:00
10,00:45:00,12.6,12.5,12.6,84.0,83.0,84.0,3.2,0.8,4.2,31.0,0.0,42.2,85.0,757.0,757.0,757.0,29.0,17.8,2.5,-2.7,60.6,14.96715,-91.82333,2023-08-03 00:45:00
