No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,16.8,16.8,16.8,86.0,86.0,86.0,6.6,4.2,7.7,151.0,0.2,3.4,55.6,819.1,819.1,819.1,38.0,22.6,0.2,-0.9,139.2,15.31828,-91.502403,2023-08-03 00:00:00
2,00:05:00,16.8,16.8,16.8,86.0,86.0,87.0,5.9,2.6,2.6,147.0,0.0,3.4,55.6,819.1,819.1,819.1,38.0,22.6,0.2,-1.0,139.2,15.31828,-91.502403,2023-08-03 00:05:00
3,00:10:00,16.8,16.8,16.8,87.0,86.0,87.0,3.7,1.5,4.5,152.0,0.0,3.4,55.6,819.1,819.0,819.0,38.0,22.6,0.2,-0.9,139.2,15.31828,-91.502403,2023-08-03 00:10:00
4,00:15:00,16.8,16.8,16.8,86.0,86.0,86.0,5.4,4.1,6.5,158.0,0.0,3.4,55.6,819.0,818.9,818.9,38.0,22.6,0.2,-0.8,139.2,15.31828,-91.502403,2023-08-03 00:15:00
5,00:20:00,16.9,16.9,16.9,86.0,85.0,86.0,5.1,3.2,4.4,153.0,0.0,3.4,55.6,818.9,818.8,818.8,38.0,22.6,0.2,-0.8,139.2,15.31828,-91.502403,2023-08-03 00:20:00
6,00:25:00,16.9,16.9,16.9,85.0,85.0,86.0,4.5,2.3,4.2,150.0,0.0,3.4,55.6,818.8,818.8,818.8,38.0,22.5,0.2,-0.9,139.2,15.31828,-91.502403,2023-08-03 00:25:00
7,00:30:00,16.9,16.9,16.9,86.0,86.0,86.0,5.3,3.4,7.2,151.0,0.0,3.4,55.6,818.8,818.8,818.8,38.0,22.5,0.2,-0.8,139.2,15.31828,-91.502403,2023-08-03 00:30:00
8,00:35:00,17.0,17.0,17.0,86.0,85.0,86.0,7.8,5.1,11.0,148.0,0.0,3.4,55.6,818.7,818.7,818.7,38.0,22.5,0.2,-0.8,139.2,15.31828,-91.502403,2023-08-03 00:35:00
9,00:40:00,16.9,16.9,16.9,86.0,86.0,86.0,8.7,4.6,12.3,146.0,0.0,3.4,55.6,818.7,818.6,818.6,38.0,22.5,0.2,-0.9,139.2,15.31828,-91.502403,2023-08-03 00:40:00
10,00:45:00,16.9,16.9,16.9,86.0,86.0,86.0,6.7,5.1,6.1,143.0,0.0,3.4,55.6,818.6,818.6,818.6,38.0,22.5,0.2,-0.9,139.2,15.31828,-91.502403,2023-08-03 00:45:00
11,00:50:00,16.9,16.9,16.9,86.0,86.0,86.0,6.6,3.9,4.1,148.0,0.0,3.4,55.6,818.6,818.6,818.6,38.0,22.5,0.2,-0.8,139.2,15.31828,-91.502403,2023-08-03 00:50:00
12,00:55:00,17.0,17.0,17.0,86.0,85.0,86.0,5.5,3.4,4.3,140.0,0.0,3.4,55.6,818.6,818.6,818.6,38.0,22.5,0.2,-0.7,139.2,15.31828,-91.502403,2023-08-03 00:55:00
13,01:00:00,17.0,17.0,17.1,85.0,85.0,85.0,4.5,2.9,5.4,132.0,0.0,3.4,55.6,818.5,818.5,818.5,38.0,22.5,0.2,-0.8,139.2,15.31828,-91.502403,2023-08-03 01:00:00
14,01:05:00,17.2,17.1,17.2,84.0,83.0,85.0,6.7,3.1,9.7,126.0,0.0,3.4,55.6,818.5,818.5,818.5,38.0,22.5,0.2,-0.7,139.2,15.31828,-91.502403,2023-08-03 01:05:00
15,01:10:00,17.3,17.2,17.3,83.0,82.0,83.0,8.0,3.0,9.1,126.0,0.0,3.4,55.6,818.4,818.4,818.4,38.0,22.4,0.2,-1.0,139.2,15.31828,-91.502403,2023-08-03 01:10:00
16,01:15:00,17.3,17.3,17.3,83.0,82.0,83.0,8.4,5.5,5.5,124.0,0.0,3.4,55.6,818.4,818.3,818.3,38.0,22.4,0.2,-1.1,139.2,15.31828,-91.502403,2023-08-03 01:15:00
17,01:20:00,17.2,17.2,17.3,83.0,83.0,83.0,9.2,6.1,12.1,118.0,0.0,3.4,55.6,818.3,818.2,818.2,38.0,22.4,0.2,-1.3,139.2,15.31828,-91.502403,2023-08-03 01:20:00
18,01:25:00,17.2,17.2,17.2,83.0,83.0,83.0,7.8,4.1,5.8,121.0,0.0,3.4,55.6,818.2,818.2,818.2,38.0,22.4,0.2,-2.0,139.2,15.31828,-91.502403,2023-08-03 01:25:00
19,01:30:00,17.1,17.1,17.2,83.0,83.0,83.0,7.3,3.4,11.0,132.0,0.0,3.4,55.6,818.1,818.1,818.1,38.0,22.4,0.2,-1.8,139.2,15.31828,-91.502403,2023-08-03 01:30:00
20,01:35:00,17.1,17.1,17.1,83.0,83.0,83.0,7.3,4.4,6.3,130.0,0.0,3.4,55.6,818.1,818.0,818.0,38.0,22.4,0.2,-1.5,139.2,15.31828,-91.502403,2023-08-03 01:35:00
21,01:40:00,17.1,17.1,17.1,83.0,83.0,83.0,5.2,3.2,3.2,137.0,0.0,3.4,55.6,818.0,818.0,818.0,38.0,22.4,0.2,-1.3,139.2,15.31828,-91.502403,2023-08-03 01:40:00
22,01:45:00,17.1,17.1,17.1,83.0,83.0,83.0,5.3,3.3,4.1,141.0,0.0,3.4,55.6,818.0,818.0,818.0,38.0,22.4,0.2,-1.1,139.2,15.31828,-91.502403,2023-08-03 01:45:00
23,01:50:00,17.1,17.1,17.1,83.0,83.0,84.0,6.1,4.6,6.7,138.0,0.0,3.4,55.6,818.0,818.0,818.0,38.0,22.4,0.2,-1.3,139.2,15.31828,-91.502403,2023-08-03 01:50:00
24,01:55:00,17.1,17.1,17.1,84.0,84.0,84.0,6.1,4.3,5.7,138.0,0.0,3.4,55.6,818.0,817.9,817.9,38.0,22.3,0.2,-1.1,139.2,15.31828,-91.502403,2023-08-03 01:55:00
25,02:00:00,17.0,17.0,17.1,84.0,84.0,84.0,6.1,3.1,6.9,144.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.3,0.2,-1.2,139.2,15.31828,-91.502403,2023-08-03 02:00:00
26,02:05:00,17.0,17.0,17.0,84.0,84.0,84.0,6.3,3.3,7.6,142.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.3,0.2,-1.1,139.2,15.31828,-91.502403,2023-08-03 02:05:00
27,02:10:00,17.0,17.0,17.0,84.0,84.0,85.0,5.3,3.1,5.9,142.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.3,0.2,-1.3,139.2,15.31828,-91.502403,2023-08-03 02:10:00
28,02:15:00,17.0,17.0,17.1,84.0,84.0,84.0,5.7,3.7,6.4,134.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.3,0.2,-1.0,139.2,15.31828,-91.502403,2023-08-03 02:15:00
29,02:20:00,17.0,16.9,17.0,85.0,84.0,85.0,5.9,4.5,5.7,143.0,0.0,3.4,55.6,817.8,817.8,817.8,38.0,22.3,0.2,-1.2,139.2,15.31828,-91.502403,2023-08-03 02:20:00
30,02:25:00,16.9,16.9,17.0,85.0,84.0,85.0,3.9,2.0,3.6,130.0,0.0,3.4,55.6,817.8,817.9,817.9,38.0,22.3,0.2,-1.2,139.2,15.31828,-91.502403,2023-08-03 02:25:00
31,02:30:00,17.1,17.0,17.1,84.0,83.0,84.0,5.7,3.8,5.3,124.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.2,0.2,-1.5,139.2,15.31828,-91.502403,2023-08-03 02:30:00
32,02:45:00,17.2,17.1,17.2,83.0,82.0,83.0,6.1,4.0,5.2,150.0,0.0,3.4,55.6,817.8,817.8,817.8,38.0,22.2,0.2,-2.5,139.2,15.31828,-91.502403,2023-08-03 02:45:00
33,02:50:00,17.0,16.9,17.1,84.0,84.0,85.0,5.4,3.1,3.5,151.0,0.0,3.4,55.6,817.8,817.8,817.8,38.0,22.2,0.2,-3.7,139.2,15.31828,-91.502403,2023-08-03 02:50:00
34,02:55:00,16.8,16.7,16.8,85.0,85.0,85.0,5.0,3.1,5.9,141.0,0.0,3.4,55.6,817.8,817.9,817.9,38.0,22.2,0.2,-3.1,139.2,15.31828,-91.502403,2023-08-03 02:55:00
35,03:00:00,16.7,16.7,16.8,86.0,85.0,86.0,6.1,3.4,5.8,142.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.2,0.2,-2.5,139.2,15.31828,-91.502403,2023-08-03 03:00:00
36,03:05:00,16.7,16.7,16.7,86.0,86.0,86.0,5.7,4.2,6.9,148.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.2,0.2,-2.5,139.2,15.31828,-91.502403,2023-08-03 03:05:00
37,03:10:00,16.6,16.6,16.6,86.0,86.0,86.0,4.4,2.4,2.9,141.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.2,0.2,-2.5,139.2,15.31828,-91.502403,2023-08-03 03:10:00
38,03:15:00,16.6,16.6,16.6,86.0,86.0,86.0,4.0,2.4,3.5,128.0,0.0,3.4,55.6,817.9,817.9,817.9,38.0,22.2,0.2,-2.8,139.2,15.31828,-91.502403,2023-08-03 03:15:00
39,03:20:00,16.6,16.6,16.6,85.0,85.0,86.0,5.7,3.6,6.5,143.0,0.0,3.4,55.6,817.9,817.8,817.8,38.0,22.1,0.2,-3.6,139.2,15.31828,-91.502403,2023-08-03 03:20:00
40,03:25:00,16.5,16.4,16.5,86.0,86.0,87.0,5.2,2.2,2.2,144.0,0.0,3.4,55.6,817.8,817.8,817.8,38.0,22.1,0.2,-4.1,139.2,15.31828,-91.502403,2023-08-03 03:25:00
41,03:30:00,16.3,16.3,16.4,87.0,87.0,88.0,3.2,1.6,4.2,149.0,0.0,3.4,55.6,817.7,817.7,817.7,38.0,22.1,0.2,-4.2,139.2,15.31828,-91.502403,2023-08-03 03:30:00
42,03:35:00,16.2,16.1,16.2,88.0,88.0,88.0,3.5,1.9,3.3,161.0,0.0,3.4,55.6,817.6,817.6,817.6,38.0,22.1,0.2,-3.8,139.2,15.31828,-91.502403,2023-08-03 03:35:00
43,03:40:00,16.0,16.0,16.1,88.0,88.0,89.0,4.6,2.2,5.7,166.0,0.0,3.4,55.6,817.6,817.7,817.7,38.0,22.1,0.2,-3.3,139.2,15.31828,-91.502403,2023-08-03 03:40:00
44,03:45:00,15.9,15.9,16.0,89.0,89.0,89.0,4.3,2.4,5.4,169.0,0.0,3.4,55.6,817.6,817.6,817.6,38.0,22.1,0.2,-2.8,139.2,15.31828,-91.502403,2023-08-03 03:45:00
