No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,14.6,14.5,14.6,80.0,80.0,80.0,0.0,0.0,2.9,0.0,0.2,14.7,191.3,771.3,771.3,771.3,30.0,20.0,0.2,-1.2,0.0,14.871334,-91.514438,2023-08-03 00:00:00
2,00:05:00,14.6,14.6,14.6,79.0,79.0,79.0,5.0,0.0,5.4,338.0,0.0,14.7,191.3,771.3,771.3,771.4,30.0,20.0,0.2,-0.7,0.0,14.871334,-91.514438,2023-08-03 00:05:00
3,00:10:00,14.7,14.6,14.7,78.0,78.0,80.0,2.9,1.4,6.8,33.0,0.0,14.7,191.3,771.2,771.2,771.2,30.0,20.0,0.2,-0.7,0.0,14.871334,-91.514438,2023-08-03 00:10:00
4,00:15:00,14.7,14.7,14.7,78.0,78.0,78.0,1.8,0.0,4.7,47.0,0.0,14.7,191.3,771.2,771.1,771.2,30.0,20.0,0.2,-1.7,0.0,14.871334,-91.514438,2023-08-03 00:15:00
5,00:20:00,14.7,14.7,14.7,78.0,78.0,78.0,2.2,0.0,5.0,51.0,0.0,14.7,191.3,770.9,770.9,771.1,30.0,20.0,0.2,-3.9,0.0,14.871334,-91.514438,2023-08-03 00:20:00
6,00:25:00,14.5,14.5,14.7,79.0,78.0,79.0,1.1,0.0,8.6,61.0,0.0,14.7,191.3,770.9,770.8,771.0,30.0,20.0,0.2,-4.7,0.0,14.871334,-91.514438,2023-08-03 00:25:00
7,00:30:00,14.4,14.4,14.5,80.0,80.0,80.0,3.6,0.0,4.7,21.0,0.0,14.7,191.3,770.9,770.8,770.9,30.0,20.0,0.2,-3.6,0.0,14.871334,-91.514438,2023-08-03 00:30:00
8,00:35:00,14.3,14.3,14.4,80.0,80.0,80.0,2.5,0.0,6.5,97.0,0.0,14.7,191.3,770.9,770.8,770.9,30.0,20.0,0.2,-1.9,0.0,14.871334,-91.514438,2023-08-03 00:35:00
9,00:40:00,14.3,14.3,14.3,80.0,80.0,80.0,1.1,0.0,4.7,32.0,0.0,14.7,191.3,770.8,770.8,770.9,30.0,20.0,0.2,-1.6,0.0,14.871334,-91.514438,2023-08-03 00:40:00
10,00:45:00,14.3,14.3,14.3,80.0,80.0,80.0,3.2,0.0,7.2,51.0,0.0,14.7,191.3,770.8,770.8,770.9,30.0,20.0,0.2,-0.7,0.0,14.871334,-91.514438,2023-08-03 00:45:00
11,00:50:00,14.3,14.3,14.3,80.0,80.0,80.0,2.5,0.0,6.1,27.0,0.0,14.7,191.3,770.7,770.7,770.8,30.0,20.0,0.2,-0.8,0.0,14.871334,-91.514438,2023-08-03 00:50:00
12,00:55:00,14.3,14.3,14.3,80.0,80.0,80.0,6.1,1.4,7.9,1.0,0.0,14.7,191.3,770.7,770.7,770.8,30.0,20.0,0.2,-1.4,0.0,14.871334,-91.514438,2023-08-03 00:55:00
13,01:00:00,14.3,14.3,14.3,80.0,80.0,81.0,3.6,1.4,10.4,22.0,0.0,14.7,191.3,770.6,770.5,770.7,30.0,20.0,0.2,-2.1,0.0,14.871334,-91.514438,2023-08-03 01:00:00
14,01:05:00,14.3,14.3,14.4,80.0,80.0,80.0,3.2,1.4,6.8,49.0,0.0,14.7,191.3,770.5,770.4,770.5,30.0,20.0,0.2,-3.2,0.0,14.871334,-91.514438,2023-08-03 01:05:00
15,01:10:00,14.2,14.2,14.3,80.0,80.0,80.0,2.9,0.0,6.1,24.0,0.0,14.7,191.3,770.4,770.4,770.5,30.0,20.0,0.2,-3.6,0.0,14.871334,-91.514438,2023-08-03 01:10:00
16,01:15:00,14.2,14.2,14.2,81.0,80.0,81.0,4.0,1.1,5.8,27.0,0.0,14.7,191.3,770.4,770.4,770.5,30.0,20.0,0.2,-3.2,0.0,14.871334,-91.514438,2023-08-03 01:15:00
17,01:20:00,14.1,14.1,14.1,80.0,80.0,81.0,7.6,2.5,8.6,27.0,0.0,14.7,191.3,770.4,770.4,770.5,30.0,20.0,0.2,-2.6,0.0,14.871334,-91.514438,2023-08-03 01:20:00
18,01:25:00,14.1,14.1,14.1,80.0,80.0,80.0,3.6,2.5,7.9,26.0,0.0,14.7,191.3,770.4,770.3,770.4,30.0,20.0,0.2,-2.3,0.0,14.871334,-91.514438,2023-08-03 01:25:00
19,01:30:00,14.0,14.0,14.1,81.0,80.0,81.0,3.6,1.4,6.8,22.0,0.0,14.7,191.3,770.3,770.3,770.4,30.0,20.0,0.2,-2.4,0.0,14.871334,-91.514438,2023-08-03 01:30:00
20,01:35:00,14.1,14.0,14.1,80.0,80.0,81.0,3.2,1.8,8.6,27.0,0.0,14.7,191.3,770.3,770.2,770.3,30.0,20.0,0.2,-3.6,0.0,14.871334,-91.514438,2023-08-03 01:35:00
21,01:40:00,14.0,14.0,14.1,80.0,80.0,81.0,1.1,0.0,10.8,85.0,0.0,14.7,191.3,770.3,770.2,770.3,30.0,20.0,0.2,-4.7,0.0,14.871334,-91.514438,2023-08-03 01:40:00
22,01:45:00,13.8,13.8,14.0,81.0,81.0,81.0,2.9,0.0,6.1,27.0,0.0,14.7,191.3,770.1,770.1,770.2,30.0,20.0,0.2,-4.5,0.0,14.871334,-91.514438,2023-08-03 01:45:00
