No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:05:00,7.6,7.6,7.7,99.0,99.0,99.0,13.6,4.2,12.3,69.0,0.0,25.0,79.8,689.5,689.5,689.5,37.0,13.0,2.7,-0.6,65.9,15.16483,-91.9395,2023-08-03 00:05:00
2,00:10:00,7.6,7.6,7.6,99.0,99.0,99.0,11.9,6.1,11.5,71.0,0.0,25.0,79.8,689.4,689.4,689.4,37.0,12.9,2.7,-0.5,65.9,15.16483,-91.9395,2023-08-03 00:10:00
3,00:15:00,7.6,7.6,7.6,98.0,98.0,99.0,14.7,5.9,14.7,58.0,0.0,25.0,79.8,689.4,689.4,689.4,37.0,13.0,2.7,-0.6,65.9,15.16483,-91.9395,2023-08-03 00:15:00
4,00:20:00,7.6,7.5,7.6,98.0,98.0,99.0,17.3,12.3,16.8,46.0,0.0,25.0,79.8,689.3,689.2,689.2,37.0,13.0,2.7,-0.3,65.9,15.16483,-91.9395,2023-08-03 00:20:00
5,00:25:00,7.6,7.6,7.6,98.0,98.0,98.0,19.5,12.7,14.0,46.0,0.0,25.0,79.8,689.1,689.1,689.1,37.0,12.9,2.7,-0.6,65.9,15.16483,-91.9395,2023-08-03 00:25:00
6,00:30:00,7.5,7.5,7.6,99.0,99.0,99.0,21.0,12.2,28.8,58.0,0.0,25.0,79.8,689.1,689.1,689.1,37.0,12.9,2.7,-0.6,65.9,15.16483,-91.9395,2023-08-03 00:30:00
7,00:35:00,7.5,7.4,7.5,99.0,99.0,99.0,19.5,6.8,11.3,53.0,0.0,25.0,79.8,689.3,689.3,689.3,37.0,12.9,2.7,-0.4,65.9,15.16483,-91.9395,2023-08-03 00:35:00
8,00:40:00,7.4,7.4,7.5,99.0,99.0,99.0,15.7,9.4,14.4,48.0,0.0,25.0,79.8,689.2,689.1,689.1,37.0,12.9,2.7,-0.3,65.9,15.16483,-91.9395,2023-08-03 00:40:00
9,00:45:00,7.5,7.4,7.5,99.0,99.0,99.0,16.7,10.6,12.5,50.0,0.0,25.0,79.8,689.1,689.1,689.1,37.0,12.9,2.7,-0.5,65.9,15.16483,-91.9395,2023-08-03 00:45:00
10,00:50:00,7.4,7.4,7.5,99.0,99.0,99.0,13.8,2.7,11.0,48.0,0.0,25.0,79.8,689.1,689.1,689.1,37.0,12.9,2.7,-0.2,65.9,15.16483,-91.9395,2023-08-03 00:50:00
