No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,datetime
1,00:00:00,10.9,10.9,10.9,91.0,91.0,91.0,9.4,5.0,18.4,121.0,0.5,15.4,170.2,728.2,728.2,728.3,21.0,16.6,0.2,-1.1,0.0,2023-08-03 00:00:00
2,00:05:00,10.9,10.9,10.9,90.0,90.0,91.0,8.3,2.9,15.8,63.0,0.0,15.4,170.2,728.2,728.2,728.3,21.0,16.6,0.2,-0.9,0.0,2023-08-03 00:05:00
3,00:10:00,10.9,10.9,10.9,90.0,90.0,91.0,9.7,3.6,18.0,121.0,0.0,15.4,170.2,728.1,728.1,728.2,21.0,16.6,0.2,-1.7,0.0,2023-08-03 00:10:00
4,00:15:00,10.9,10.9,10.9,90.0,90.0,90.0,15.8,0.0,18.7,109.0,0.0,15.4,170.2,728.1,728.1,728.2,21.0,16.6,0.2,-2.3,0.0,2023-08-03 00:15:00
5,00:20:00,10.9,10.9,10.9,90.0,90.0,90.0,10.1,2.2,18.0,98.0,0.0,15.4,170.2,728.1,728.1,728.2,21.0,16.6,0.2,-2.5,0.0,2023-08-03 00:20:00
6,00:25:00,10.9,10.9,10.9,90.0,90.0,90.0,10.4,3.2,22.0,97.0,0.0,15.4,170.2,728.0,728.0,728.1,21.0,16.6,0.2,-2.7,0.0,2023-08-03 00:25:00
7,00:30:00,10.9,10.9,10.9,90.0,90.0,90.0,9.4,1.8,22.0,83.0,0.0,15.4,170.2,727.9,727.9,728.0,21.0,16.6,0.2,-2.8,0.0,2023-08-03 00:30:00
8,00:35:00,10.9,10.9,10.9,90.0,90.0,90.0,11.5,2.5,17.3,100.0,0.0,15.4,170.2,727.9,727.8,727.9,21.0,16.6,0.2,-3.7,0.0,2023-08-03 00:35:00
9,00:40:00,10.9,10.9,10.9,90.0,90.0,90.0,6.5,0.0,22.7,92.0,0.0,15.4,170.2,727.8,727.8,727.9,21.0,16.6,0.2,-3.8,0.0,2023-08-03 00:40:00
10,00:45:00,10.9,10.8,10.9,90.0,90.0,90.0,12.2,4.3,24.5,179.0,0.0,15.4,170.2,727.7,727.7,727.9,21.0,16.6,0.2,-3.8,0.0,2023-08-03 00:45:00
11,00:50:00,10.9,10.9,10.9,89.0,89.0,90.0,10.4,0.0,16.9,79.0,0.0,15.4,170.2,727.6,727.5,727.7,21.0,16.6,0.2,-4.5,0.0,2023-08-03 00:50:00
12,00:55:00,10.9,10.9,10.9,89.0,89.0,89.0,10.1,2.2,19.1,63.0,0.0,15.4,170.2,727.5,727.5,727.6,21.0,16.6,0.2,-4.4,0.0,2023-08-03 00:55:00
13,01:00:00,10.8,10.8,10.9,89.0,89.0,89.0,7.6,3.2,19.1,80.0,0.0,15.4,170.2,727.5,727.5,727.6,21.0,16.6,0.2,-4.5,0.0,2023-08-03 01:00:00
14,01:05:00,10.7,10.7,10.8,89.0,89.0,90.0,7.6,0.0,20.2,51.0,0.0,15.4,170.2,727.5,727.4,727.6,21.0,16.6,0.2,-3.9,0.0,2023-08-03 01:05:00
15,01:10:00,10.7,10.7,10.8,90.0,89.0,90.0,10.1,1.4,15.1,109.0,0.0,15.4,170.2,727.5,727.4,727.5,21.0,16.6,0.2,-4.3,0.0,2023-08-03 01:10:00
16,01:15:00,10.7,10.7,10.7,90.0,90.0,90.0,5.0,1.8,13.0,168.0,0.0,15.4,170.2,727.3,727.3,727.5,21.0,16.6,0.2,-4.4,0.0,2023-08-03 01:15:00
17,01:20:00,10.6,10.5,10.7,90.0,89.0,90.0,6.1,2.9,16.9,86.0,0.0,15.4,170.2,727.4,727.3,727.4,21.0,16.6,0.2,-4.2,0.0,2023-08-03 01:20:00
18,01:25:00,10.4,10.4,10.5,91.0,90.0,91.0,6.1,2.2,18.0,75.0,0.0,15.4,170.2,727.3,727.3,727.4,21.0,16.6,0.2,-4.4,0.0,2023-08-03 01:25:00
19,01:30:00,10.4,10.4,10.4,91.0,91.0,91.0,7.9,0.0,15.5,124.0,0.0,15.4,170.2,727.3,727.3,727.4,21.0,16.6,0.2,-4.2,0.0,2023-08-03 01:30:00
20,01:35:00,10.3,10.3,10.4,91.0,91.0,91.0,6.1,0.0,10.8,110.0,0.0,15.4,170.2,727.3,727.2,727.3,21.0,16.6,0.2,-4.7,0.0,2023-08-03 01:35:00
