No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,14.6,14.6,14.6,100.0,100.0,100.0,1.4,0.0,3.2,342.0,4.6,51.2,348.8,798.6,798.4,798.6,29.0,20.7,0.7,-0.7,0.0,14.618572,-90.659128,2023-08-03 00:00:00
2,00:05:00,14.6,14.6,14.6,100.0,100.0,100.0,0.0,0.0,2.5,0.0,0.0,51.2,348.8,798.5,798.5,798.6,29.0,20.7,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 00:05:00
3,00:10:00,14.6,14.6,14.6,100.0,100.0,100.0,0.0,0.0,5.0,0.0,0.0,51.2,348.8,798.4,798.3,798.5,29.0,20.7,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 00:10:00
4,00:15:00,14.6,14.6,14.6,100.0,100.0,100.0,0.0,0.0,2.5,0.0,0.0,51.2,348.8,798.3,798.3,798.5,29.0,20.7,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 00:15:00
5,00:20:00,14.7,14.6,14.7,100.0,100.0,100.0,1.1,0.0,4.7,331.0,0.0,51.2,348.8,798.3,798.3,798.4,29.0,20.7,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 00:20:00
6,00:25:00,14.7,14.7,14.7,100.0,100.0,100.0,0.0,0.0,1.8,0.0,0.0,51.2,348.8,798.2,798.2,798.3,29.0,20.7,0.7,-0.6,0.0,14.618572,-90.659128,2023-08-03 00:25:00
7,00:30:00,14.7,14.7,14.7,100.0,100.0,100.0,0.0,0.0,1.4,0.0,0.0,51.2,348.8,798.3,798.3,798.3,29.0,20.7,0.7,-0.5,0.0,14.618572,-90.659128,2023-08-03 00:30:00
8,00:35:00,14.7,14.7,14.7,100.0,100.0,100.0,0.0,0.0,2.9,0.0,0.0,51.2,348.8,798.1,798.1,798.2,29.0,20.7,0.7,-0.9,0.0,14.618572,-90.659128,2023-08-03 00:35:00
9,00:40:00,14.7,14.7,14.7,100.0,100.0,100.0,0.0,0.0,2.2,0.0,0.0,51.2,348.8,798.1,798.1,798.2,29.0,20.7,0.7,-1.5,0.0,14.618572,-90.659128,2023-08-03 00:40:00
10,00:45:00,14.6,14.6,14.7,100.0,100.0,100.0,1.8,0.0,2.5,97.0,0.0,51.2,348.8,798.0,798.0,798.2,29.0,20.7,0.7,-1.9,0.0,14.618572,-90.659128,2023-08-03 00:45:00
11,00:50:00,14.6,14.6,14.6,100.0,100.0,100.0,2.2,1.1,3.2,58.0,0.0,51.2,348.8,797.9,797.9,798.0,29.0,20.7,0.7,-1.5,0.0,14.618572,-90.659128,2023-08-03 00:50:00
12,00:55:00,14.5,14.5,14.6,100.0,100.0,100.0,3.2,1.4,4.3,67.0,0.0,51.2,348.8,797.8,797.8,797.9,29.0,20.7,0.7,-0.3,0.0,14.618572,-90.659128,2023-08-03 00:55:00
13,01:00:00,14.6,14.5,14.6,100.0,100.0,100.0,4.0,2.2,5.4,68.0,0.0,51.2,348.8,797.7,797.7,797.8,29.0,20.7,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 01:00:00
14,01:05:00,14.7,14.6,14.7,100.0,100.0,100.0,3.2,1.8,9.0,93.0,0.0,51.2,348.8,797.7,797.6,797.7,29.0,20.7,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 01:05:00
15,01:10:00,14.7,14.7,14.7,100.0,100.0,100.0,6.5,2.9,8.6,62.0,0.0,51.2,348.8,797.6,797.5,797.7,29.0,20.7,0.7,-0.5,0.0,14.618572,-90.659128,2023-08-03 01:10:00
16,01:15:00,14.8,14.8,14.8,100.0,100.0,100.0,6.5,0.0,7.6,62.0,0.0,51.2,348.8,797.5,797.5,797.6,29.0,20.7,0.7,-1.8,0.0,14.618572,-90.659128,2023-08-03 01:15:00
17,01:20:00,14.8,14.8,14.8,100.0,100.0,100.0,4.0,2.5,6.8,61.0,0.0,51.2,348.8,797.5,797.5,797.6,29.0,20.7,0.7,-1.2,0.0,14.618572,-90.659128,2023-08-03 01:20:00
18,01:25:00,14.8,14.8,14.8,100.0,100.0,100.0,2.2,1.1,6.1,62.0,0.0,51.2,348.8,797.4,797.4,797.5,29.0,20.7,0.7,-1.7,0.0,14.618572,-90.659128,2023-08-03 01:25:00
19,01:30:00,14.7,14.7,14.7,100.0,100.0,100.0,4.7,1.1,5.8,71.0,0.0,51.2,348.8,797.4,797.3,797.5,29.0,20.6,0.7,-1.8,0.0,14.618572,-90.659128,2023-08-03 01:30:00
20,01:35:00,14.6,14.6,14.7,100.0,100.0,100.0,4.0,1.4,5.8,61.0,0.0,51.2,348.8,797.3,797.3,797.4,29.0,20.6,0.7,-2.4,0.0,14.618572,-90.659128,2023-08-03 01:35:00
21,01:40:00,14.5,14.5,14.6,100.0,100.0,100.0,0.0,0.0,3.6,0.0,0.0,51.2,348.8,797.2,797.2,797.3,29.0,20.6,0.7,-2.9,0.0,14.618572,-90.659128,2023-08-03 01:40:00
22,01:45:00,14.4,14.4,14.5,100.0,100.0,100.0,1.4,0.0,1.8,338.0,0.0,51.2,348.8,797.2,797.2,797.3,29.0,20.6,0.7,-2.5,0.0,14.618572,-90.659128,2023-08-03 01:45:00
23,01:50:00,14.3,14.3,14.4,100.0,100.0,100.0,0.0,0.0,2.2,0.0,0.0,51.2,348.8,797.0,797.0,797.1,29.0,20.6,0.7,-2.5,0.0,14.618572,-90.659128,2023-08-03 01:50:00
24,01:55:00,14.2,14.2,14.2,100.0,100.0,100.0,0.0,0.0,1.8,0.0,0.0,51.2,348.8,797.1,797.0,797.1,29.0,20.6,0.7,-3.0,0.0,14.618572,-90.659128,2023-08-03 01:55:00
25,02:00:00,14.0,14.0,14.1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,51.2,348.8,796.9,796.9,797.0,29.0,20.6,0.7,-3.2,0.0,14.618572,-90.659128,2023-08-03 02:00:00
26,02:05:00,13.8,13.8,14.0,100.0,100.0,100.0,3.2,0.0,3.6,80.0,0.0,51.2,348.8,796.9,796.8,796.9,29.0,20.6,0.7,-2.7,0.0,14.618572,-90.659128,2023-08-03 02:05:00
27,02:10:00,13.5,13.5,13.7,100.0,100.0,100.0,4.7,1.8,5.0,64.0,0.0,51.2,348.8,796.9,796.8,796.9,29.0,20.6,0.7,-2.5,0.0,14.618572,-90.659128,2023-08-03 02:10:00
28,02:15:00,13.6,13.5,13.6,100.0,100.0,100.0,1.4,0.0,5.4,353.0,0.0,51.2,348.8,796.8,796.8,796.9,29.0,20.6,0.7,-2.4,0.0,14.618572,-90.659128,2023-08-03 02:15:00
29,02:20:00,13.7,13.6,13.7,100.0,100.0,100.0,2.2,0.0,2.9,346.0,0.0,51.2,348.8,796.7,796.7,796.8,29.0,20.6,0.7,-2.2,0.0,14.618572,-90.659128,2023-08-03 02:20:00
30,02:25:00,13.6,13.6,13.7,100.0,100.0,100.0,1.4,0.0,2.5,327.0,0.0,51.2,348.8,796.8,796.7,796.8,29.0,20.6,0.7,-1.7,0.0,14.618572,-90.659128,2023-08-03 02:25:00
31,02:30:00,13.6,13.6,13.6,100.0,100.0,100.0,2.9,0.0,3.2,324.0,0.0,51.2,348.8,796.7,796.7,796.8,29.0,20.6,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 02:30:00
32,02:35:00,13.6,13.6,13.6,100.0,100.0,100.0,3.2,0.0,4.0,59.0,0.0,51.2,348.8,796.7,796.7,796.8,29.0,20.6,0.7,0.1,0.0,14.618572,-90.659128,2023-08-03 02:35:00
33,02:40:00,13.6,13.6,13.6,100.0,100.0,100.0,0.0,0.0,2.2,0.0,0.0,51.2,348.8,796.8,796.7,796.8,29.0,20.6,0.7,0.1,0.0,14.618572,-90.659128,2023-08-03 02:40:00
34,02:45:00,13.7,13.6,13.7,100.0,100.0,100.0,1.8,0.0,2.2,289.0,0.0,51.2,348.8,796.8,796.7,796.8,29.0,20.6,0.7,0.2,0.0,14.618572,-90.659128,2023-08-03 02:45:00
35,02:50:00,13.8,13.7,13.8,100.0,100.0,100.0,0.0,0.0,2.2,0.0,0.0,51.2,348.8,796.8,796.7,796.8,29.0,20.6,0.7,0.2,0.0,14.618572,-90.659128,2023-08-03 02:50:00
36,02:55:00,13.9,13.8,13.9,100.0,100.0,100.0,1.8,0.0,4.3,325.0,0.0,51.2,348.8,796.7,796.7,796.8,29.0,20.6,0.7,0.1,0.0,14.618572,-90.659128,2023-08-03 02:55:00
37,03:00:00,14.0,13.9,14.0,100.0,100.0,100.0,0.0,0.0,4.0,0.0,0.0,51.2,348.8,796.8,796.7,796.8,29.0,20.6,0.7,-0.3,0.0,14.618572,-90.659128,2023-08-03 03:00:00
38,03:05:00,14.0,14.0,14.0,100.0,100.0,100.0,0.0,0.0,1.4,0.0,0.0,51.2,348.8,796.7,796.7,796.8,29.0,20.5,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 03:05:00
39,03:10:00,14.0,14.0,14.0,100.0,100.0,100.0,0.0,0.0,2.9,0.0,0.0,51.2,348.8,796.7,796.7,796.7,29.0,20.6,0.7,-0.1,0.0,14.618572,-90.659128,2023-08-03 03:10:00
40,03:15:00,14.0,14.0,14.0,100.0,100.0,100.0,1.1,0.0,2.9,287.0,0.0,51.2,348.8,796.7,796.6,796.8,29.0,20.5,0.7,-0.1,0.0,14.618572,-90.659128,2023-08-03 03:15:00
41,03:20:00,14.1,14.0,14.1,100.0,100.0,100.0,0.0,0.0,2.2,0.0,0.0,51.2,348.8,796.6,796.6,796.8,29.0,20.5,0.7,-0.1,0.0,14.618572,-90.659128,2023-08-03 03:20:00
42,03:25:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,2.5,0.0,0.0,51.2,348.8,796.6,796.6,796.6,29.0,20.5,0.7,-0.1,0.0,14.618572,-90.659128,2023-08-03 03:25:00
43,03:35:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,2.5,0.0,0.0,51.2,348.8,796.4,796.4,796.6,29.0,20.5,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 03:35:00
44,03:40:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,3.2,0.0,0.0,51.2,348.8,796.5,796.5,796.5,28.0,20.5,0.7,-0.6,0.0,14.618572,-90.659128,2023-08-03 03:40:00
45,03:45:00,14.1,14.1,14.1,100.0,100.0,100.0,1.1,0.0,1.8,285.0,0.0,51.2,348.8,796.5,796.4,796.5,29.0,20.5,0.7,-0.5,0.0,14.618572,-90.659128,2023-08-03 03:45:00
46,03:50:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,2.2,0.0,0.0,51.2,348.8,796.4,796.4,796.5,28.0,20.5,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 03:50:00
47,03:55:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,4.7,0.0,0.0,51.2,348.8,796.4,796.3,796.5,29.0,20.5,0.7,-0.3,0.0,14.618572,-90.659128,2023-08-03 03:55:00
48,04:00:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,4.0,0.0,0.0,51.2,348.8,796.3,796.3,796.4,28.0,20.5,0.7,-0.7,0.0,14.618572,-90.659128,2023-08-03 04:00:00
49,04:05:00,14.1,14.1,14.1,100.0,100.0,100.0,0.0,0.0,2.5,0.0,0.0,51.2,348.8,796.3,796.3,796.4,29.0,20.5,0.7,-0.1,0.0,14.618572,-90.659128,2023-08-03 04:05:00
50,04:10:00,14.1,14.1,14.1,100.0,100.0,100.0,1.8,0.0,2.2,98.0,0.0,51.2,348.8,796.4,796.3,796.4,28.0,20.5,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 04:10:00
51,04:15:00,14.1,14.1,14.1,100.0,100.0,100.0,1.4,0.0,3.6,29.0,0.0,51.2,348.8,796.4,796.3,796.5,28.0,20.5,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 04:15:00
52,04:20:00,14.1,14.1,14.2,100.0,100.0,100.0,1.8,0.0,2.2,48.0,0.0,51.2,348.8,796.5,796.3,796.5,28.0,20.5,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 04:20:00
53,04:25:00,14.1,14.1,14.1,100.0,100.0,100.0,1.8,0.0,3.6,161.0,0.0,51.2,348.8,796.4,796.4,796.4,29.0,20.5,0.7,-0.5,0.0,14.618572,-90.659128,2023-08-03 04:25:00
54,04:30:00,14.2,14.1,14.2,100.0,100.0,100.0,0.0,0.0,1.4,0.0,0.0,51.2,348.8,796.3,796.3,796.5,28.0,20.5,0.7,-0.1,0.0,14.618572,-90.659128,2023-08-03 04:30:00
55,04:35:00,14.2,14.2,14.2,100.0,100.0,100.0,1.1,0.0,1.4,121.0,0.0,51.2,348.8,796.3,796.3,796.5,28.0,20.4,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 04:35:00
56,04:40:00,14.1,14.1,14.2,100.0,100.0,100.0,1.8,0.0,3.6,321.0,0.0,51.2,348.8,796.1,796.1,796.3,28.0,20.4,0.7,-1.1,0.0,14.618572,-90.659128,2023-08-03 04:40:00
57,04:45:00,14.0,14.0,14.1,100.0,100.0,100.0,1.1,0.0,4.7,21.0,0.0,51.2,348.8,796.2,796.1,796.3,28.0,20.4,0.7,-1.0,0.0,14.618572,-90.659128,2023-08-03 04:45:00
58,04:50:00,14.0,14.0,14.0,100.0,100.0,100.0,0.0,0.0,3.6,0.0,0.0,51.2,348.8,796.2,796.2,796.3,28.0,20.4,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 04:50:00
59,04:55:00,14.0,14.0,14.0,100.0,100.0,100.0,0.0,0.0,2.5,0.0,0.0,51.2,348.8,796.2,796.2,796.3,28.0,20.4,0.7,-0.3,0.0,14.618572,-90.659128,2023-08-03 04:55:00
60,05:00:00,14.0,14.0,14.0,100.0,100.0,100.0,1.1,0.0,2.5,144.0,0.0,51.2,348.8,796.3,796.3,796.3,28.0,20.4,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 05:00:00
61,05:05:00,14.0,14.0,14.0,100.0,100.0,100.0,0.0,0.0,1.8,0.0,0.0,51.2,348.8,796.4,796.3,796.4,29.0,20.4,0.7,-0.3,0.0,14.618572,-90.659128,2023-08-03 05:05:00
62,05:10:00,14.0,14.0,14.0,100.0,100.0,100.0,0.0,0.0,1.4,0.0,0.0,51.2,348.8,796.3,796.3,796.4,28.0,20.4,0.7,-0.4,0.0,14.618572,-90.659128,2023-08-03 05:10:00
63,05:15:00,13.9,13.9,14.0,100.0,100.0,100.0,1.1,0.0,4.7,71.0,0.0,51.2,348.8,796.4,796.3,796.4,28.0,20.4,0.7,-0.9,0.0,14.618572,-90.659128,2023-08-03 05:15:00
64,05:20:00,13.9,13.9,13.9,100.0,100.0,100.0,1.8,0.0,3.2,293.0,0.0,51.2,348.8,796.4,796.3,796.5,28.0,20.4,0.7,-0.7,0.0,14.618572,-90.659128,2023-08-03 05:20:00
65,05:25:00,13.9,13.9,13.9,100.0,100.0,100.0,1.4,0.0,4.0,75.0,0.0,51.2,348.8,796.5,796.4,796.5,28.0,20.4,0.7,-0.6,0.0,14.618572,-90.659128,2023-08-03 05:25:00
66,05:30:00,13.8,13.8,13.9,100.0,100.0,100.0,2.9,0.0,5.0,87.0,0.0,51.2,348.8,796.4,796.4,796.5,28.0,20.4,0.7,-0.9,0.0,14.618572,-90.659128,2023-08-03 05:30:00
67,05:35:00,13.7,13.7,13.8,100.0,100.0,100.0,1.4,0.0,3.6,69.0,0.0,51.2,348.8,796.5,796.4,796.5,28.0,20.4,0.7,-0.8,0.0,14.618572,-90.659128,2023-08-03 05:35:00
68,05:40:00,13.7,13.7,13.7,100.0,100.0,100.0,1.8,0.0,2.5,67.0,0.0,51.2,348.8,796.5,796.5,796.6,28.0,20.4,0.7,-0.2,0.0,14.618572,-90.659128,2023-08-03 05:40:00
69,05:45:00,13.6,13.6,13.7,100.0,100.0,100.0,1.4,0.0,1.8,130.0,0.0,51.2,348.8,796.5,796.5,796.5,28.0,20.4,0.7,0.8,0.0,14.618572,-90.659128,2023-08-03 05:45:00
70,05:50:00,13.6,13.6,13.6,100.0,100.0,100.0,2.5,0.0,3.2,94.0,0.0,51.2,348.8,796.6,796.5,796.6,28.0,20.4,0.7,4.0,0.0,14.618572,-90.659128,2023-08-03 05:50:00
71,05:55:00,13.5,13.5,13.5,100.0,100.0,100.0,0.0,0.0,3.6,0.0,0.0,51.2,348.8,796.7,796.6,796.7,28.0,20.4,0.8,7.4,0.0,14.618572,-90.659128,2023-08-03 05:55:00
72,06:00:00,13.5,13.5,13.5,100.0,100.0,100.0,1.8,0.0,2.2,70.0,0.0,51.2,348.8,796.6,796.6,796.7,28.0,20.4,0.8,10.1,0.0,14.618572,-90.659128,2023-08-03 06:00:00
73,06:10:00,13.4,13.4,13.4,100.0,100.0,100.0,4.0,0.0,4.3,80.0,0.0,51.2,348.8,796.8,796.6,796.8,28.0,20.3,0.8,23.6,0.0,14.618572,-90.659128,2023-08-03 06:10:00
74,06:15:00,13.3,13.3,13.4,100.0,100.0,100.0,3.6,1.8,4.3,82.0,0.0,51.2,348.8,796.7,796.7,796.9,28.0,20.3,0.8,38.0,0.0,14.618572,-90.659128,2023-08-03 06:15:00
75,06:20:00,13.3,13.3,13.3,100.0,100.0,100.0,2.2,1.1,4.0,72.0,0.0,51.2,348.8,796.8,796.8,796.9,28.0,20.3,0.8,48.9,0.0,14.618572,-90.659128,2023-08-03 06:20:00
76,06:25:00,13.4,13.3,13.4,100.0,100.0,100.0,0.0,0.0,2.9,0.0,0.0,51.2,348.8,796.8,796.8,796.9,28.0,20.3,0.8,45.3,0.0,14.618572,-90.659128,2023-08-03 06:25:00
77,06:30:00,13.5,13.4,13.5,100.0,100.0,100.0,0.0,0.0,1.1,0.0,0.0,51.2,348.8,796.8,796.8,796.8,28.0,20.3,0.8,47.2,0.0,14.618572,-90.659128,2023-08-03 06:30:00
78,06:35:00,13.8,13.5,13.8,100.0,100.0,100.0,0.0,0.0,1.1,0.0,0.0,51.2,348.8,796.9,796.8,796.9,28.0,20.3,0.8,76.0,0.0,14.618572,-90.659128,2023-08-03 06:35:00
79,06:40:00,13.7,13.7,13.8,100.0,100.0,100.0,0.0,0.0,1.4,0.0,0.0,51.2,348.8,796.9,796.8,796.9,28.0,20.3,0.8,60.5,0.0,14.618572,-90.659128,2023-08-03 06:40:00
80,06:45:00,13.6,13.6,13.7,100.0,100.0,100.0,0.0,0.0,1.8,0.0,0.0,51.2,348.8,797.0,796.9,797.0,28.0,20.3,0.8,48.1,0.0,14.618572,-90.659128,2023-08-03 06:45:00
81,06:50:00,13.8,13.7,13.8,100.0,100.0,100.0,1.1,0.0,1.8,213.0,0.0,51.2,348.8,797.0,797.0,797.0,28.0,20.3,0.8,52.1,0.0,14.618572,-90.659128,2023-08-03 06:50:00
82,06:55:00,13.9,13.8,13.9,100.0,100.0,100.0,1.8,0.0,2.2,173.0,0.0,51.2,348.8,797.2,797.1,797.2,28.0,20.3,0.8,55.1,0.0,14.618572,-90.659128,2023-08-03 06:55:00
83,07:00:00,14.0,13.9,14.0,100.0,100.0,100.0,0.0,0.0,3.2,0.0,0.0,51.2,348.8,797.3,797.2,797.3,28.0,20.3,0.8,57.9,0.0,14.618572,-90.659128,2023-08-03 07:00:00
84,07:05:00,14.9,14.2,14.9,100.0,100.0,100.0,2.2,0.0,4.7,51.0,0.0,51.2,348.8,797.2,797.2,797.3,28.0,20.3,0.8,268.9,0.0,14.618572,-90.659128,2023-08-03 07:05:00
85,07:10:00,15.2,14.9,15.2,100.0,100.0,100.0,4.0,0.0,7.9,66.0,0.0,51.2,348.8,797.4,797.3,797.4,28.0,20.3,0.8,275.2,0.0,14.618572,-90.659128,2023-08-03 07:10:00
86,07:15:00,15.7,15.3,15.7,100.0,100.0,100.0,1.4,0.0,4.7,75.0,0.0,51.2,348.8,797.5,797.3,797.5,28.0,20.3,0.8,260.6,0.0,14.618572,-90.659128,2023-08-03 07:15:00
87,07:30:00,16.5,16.4,16.5,95.0,95.0,97.0,4.7,0.0,7.6,67.0,0.0,51.2,348.8,797.6,797.5,797.6,28.0,20.3,0.5,336.5,0.0,14.618572,-90.659128,2023-08-03 07:30:00
88,07:35:00,16.6,16.5,16.6,95.0,94.0,95.0,5.4,1.1,9.0,76.0,0.0,51.2,348.8,797.6,797.5,797.7,28.0,20.3,0.2,383.0,0.0,14.618572,-90.659128,2023-08-03 07:35:00
