No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,14.6,14.6,14.6,81.0,79.0,82.0,3.5,0.0,3.4,5.0,0.0,14.2,42.0,772.1,772.1,772.1,40.0,18.0,0.2,-0.8,248.3,14.8599015,-91.50807279,2023-08-03 00:00:00
2,00:05:00,14.7,14.6,14.8,81.0,78.0,83.0,6.6,3.3,9.1,341.0,0.0,14.2,42.0,772.1,772.0,772.0,40.0,18.0,0.2,-1.3,248.3,14.8599015,-91.50807279,2023-08-03 00:05:00
3,00:10:00,14.5,14.4,14.5,83.0,82.0,83.0,8.8,5.9,11.9,9.0,0.0,14.2,42.0,772.0,772.0,772.0,40.0,17.9,0.2,-1.4,248.3,14.8599015,-91.50807279,2023-08-03 00:10:00
4,00:15:00,14.5,14.5,14.6,81.0,81.0,81.0,8.6,5.3,6.1,17.0,0.0,14.2,42.0,771.9,771.9,771.9,40.0,18.0,0.2,-1.8,248.3,14.8599015,-91.50807279,2023-08-03 00:15:00
5,00:20:00,14.5,14.5,14.6,81.0,81.0,81.0,7.0,4.4,6.6,37.0,0.0,14.2,42.0,771.8,771.8,771.8,40.0,17.9,0.2,-3.4,248.3,14.8599015,-91.50807279,2023-08-03 00:20:00
6,00:25:00,14.5,14.5,14.6,80.0,79.0,81.0,5.2,1.8,1.8,63.0,0.0,14.2,42.0,771.7,771.7,771.7,40.0,17.9,0.2,-3.1,248.3,14.8599015,-91.50807279,2023-08-03 00:25:00
7,00:30:00,14.6,14.5,14.7,79.0,78.0,80.0,5.7,1.0,5.6,57.0,0.0,14.2,42.0,771.7,771.7,771.7,40.0,17.9,0.2,-2.0,248.3,14.8599015,-91.50807279,2023-08-03 00:30:00
8,00:35:00,14.6,14.5,14.7,79.0,78.0,79.0,7.7,5.1,8.2,56.0,0.0,14.2,42.0,771.7,771.7,771.7,40.0,17.9,0.2,-1.1,248.3,14.8599015,-91.50807279,2023-08-03 00:35:00
9,00:40:00,14.8,14.7,14.9,77.0,77.0,79.0,9.0,5.2,5.7,59.0,0.0,14.2,42.0,771.7,771.7,771.7,40.0,17.9,0.2,-0.8,248.3,14.8599015,-91.50807279,2023-08-03 00:40:00
10,00:45:00,14.9,14.8,14.9,77.0,77.0,78.0,5.8,3.0,9.4,53.0,0.0,14.2,42.0,771.7,771.6,771.6,40.0,17.9,0.2,-1.5,248.3,14.8599015,-91.50807279,2023-08-03 00:45:00
11,00:50:00,14.8,14.8,14.8,78.0,78.0,79.0,4.4,0.0,1.3,58.0,0.0,14.2,42.0,771.6,771.6,771.6,40.0,17.8,0.2,-1.7,248.3,14.8599015,-91.50807279,2023-08-03 00:50:00
12,00:55:00,14.7,14.6,14.7,79.0,79.0,80.0,3.2,1.1,4.8,46.0,0.0,14.2,42.0,771.5,771.5,771.5,40.0,17.8,0.2,-2.6,248.3,14.8599015,-91.50807279,2023-08-03 00:55:00
13,01:00:00,14.4,14.3,14.5,81.0,81.0,82.0,4.2,2.2,4.6,41.0,0.0,14.2,42.0,771.4,771.4,771.4,40.0,17.8,0.2,-3.5,248.3,14.8599015,-91.50807279,2023-08-03 01:00:00
14,01:05:00,14.1,14.0,14.3,82.0,82.0,83.0,7.2,3.8,9.9,34.0,0.0,14.2,42.0,771.3,771.3,771.3,40.0,17.8,0.2,-3.4,248.3,14.8599015,-91.50807279,2023-08-03 01:05:00
15,01:10:00,13.9,13.8,14.0,83.0,83.0,84.0,7.3,5.6,6.9,38.0,0.0,14.2,42.0,771.3,771.3,771.3,40.0,17.8,0.2,-3.9,248.3,14.8599015,-91.50807279,2023-08-03 01:10:00
16,01:15:00,13.7,13.6,13.8,84.0,84.0,84.0,6.4,4.8,7.1,44.0,0.0,14.2,42.0,771.3,771.3,771.3,40.0,17.8,0.2,-3.3,248.3,14.8599015,-91.50807279,2023-08-03 01:15:00
17,01:20:00,13.6,13.6,13.6,85.0,85.0,85.0,5.8,2.3,2.3,55.0,0.0,14.2,42.0,771.2,771.2,771.2,40.0,17.8,0.2,-2.6,248.3,14.8599015,-91.50807279,2023-08-03 01:20:00
18,01:25:00,13.7,13.6,13.7,85.0,85.0,85.0,0.5,0.0,1.7,104.0,0.0,14.2,42.0,771.2,771.2,771.2,40.0,17.8,0.2,-2.7,248.3,14.8599015,-91.50807279,2023-08-03 01:25:00
19,01:30:00,13.7,13.7,13.7,85.0,84.0,85.0,2.8,0.6,7.1,51.0,0.0,14.2,42.0,771.2,771.1,771.1,40.0,17.7,0.2,-2.8,248.3,14.8599015,-91.50807279,2023-08-03 01:30:00
20,01:35:00,13.7,13.7,13.8,83.0,83.0,84.0,8.2,6.3,9.1,40.0,0.0,14.2,42.0,771.1,771.1,771.1,40.0,17.7,0.2,-3.3,248.3,14.8599015,-91.50807279,2023-08-03 01:35:00
21,01:40:00,13.5,13.4,13.6,84.0,83.0,85.0,9.0,7.9,7.9,34.0,0.0,14.2,42.0,771.0,771.0,771.0,40.0,17.7,0.2,-3.4,248.3,14.8599015,-91.50807279,2023-08-03 01:40:00
22,01:45:00,13.3,13.2,13.4,85.0,85.0,86.0,6.5,4.6,6.3,35.0,0.0,14.2,42.0,771.0,771.0,771.0,40.0,17.7,0.2,-3.7,248.3,14.8599015,-91.50807279,2023-08-03 01:45:00
23,01:50:00,13.1,13.1,13.2,86.0,86.0,86.0,7.8,6.0,8.3,38.0,0.0,14.2,42.0,770.9,770.9,770.9,40.0,17.7,0.2,-3.3,248.3,14.8599015,-91.50807279,2023-08-03 01:50:00
24,01:55:00,13.1,13.1,13.2,86.0,85.0,86.0,9.4,7.3,11.0,38.0,0.0,14.2,42.0,770.9,770.8,770.8,40.0,17.6,0.2,-3.0,248.3,14.8599015,-91.50807279,2023-08-03 01:55:00
25,02:00:00,13.1,13.0,13.1,86.0,85.0,86.0,10.3,8.5,9.7,32.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.6,0.2,-3.1,248.3,14.8599015,-91.50807279,2023-08-03 02:00:00
26,02:05:00,13.1,13.0,13.2,85.0,85.0,86.0,8.6,6.9,7.9,40.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.6,0.2,-2.4,248.3,14.8599015,-91.50807279,2023-08-03 02:05:00
27,02:10:00,13.3,13.2,13.3,85.0,85.0,85.0,7.8,6.3,6.3,44.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.6,0.2,-2.8,248.3,14.8599015,-91.50807279,2023-08-03 02:10:00
28,02:15:00,13.3,13.2,13.3,85.0,85.0,85.0,7.4,5.6,5.6,50.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.6,0.2,-2.5,248.3,14.8599015,-91.50807279,2023-08-03 02:15:00
29,02:20:00,13.4,13.3,13.4,84.0,84.0,84.0,3.6,1.7,1.8,60.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.6,0.2,-2.4,248.3,14.8599015,-91.50807279,2023-08-03 02:20:00
30,02:25:00,13.4,13.3,13.4,84.0,84.0,85.0,1.2,0.0,3.9,145.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.5,0.2,-2.3,248.3,14.8599015,-91.50807279,2023-08-03 02:25:00
31,02:30:00,13.3,13.2,13.3,86.0,85.0,86.0,3.7,1.8,2.1,186.0,0.0,14.2,42.0,770.8,770.7,770.7,40.0,17.5,0.2,-2.1,248.3,14.8599015,-91.50807279,2023-08-03 02:30:00
32,02:35:00,13.1,13.1,13.2,87.0,86.0,87.0,3.4,1.6,4.6,269.0,0.0,14.2,42.0,770.7,770.7,770.7,40.0,17.5,0.2,-1.7,248.3,14.8599015,-91.50807279,2023-08-03 02:35:00
33,02:40:00,13.1,13.0,13.1,87.0,87.0,88.0,5.2,3.7,4.1,262.0,0.0,14.2,42.0,770.7,770.8,770.8,40.0,17.5,0.2,-1.7,248.3,14.8599015,-91.50807279,2023-08-03 02:40:00
34,02:45:00,13.0,13.0,13.0,88.0,88.0,88.0,3.8,2.7,4.7,272.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.5,0.2,-1.5,248.3,14.8599015,-91.50807279,2023-08-03 02:45:00
35,02:50:00,13.0,13.0,13.0,88.0,88.0,88.0,3.1,2.2,3.3,251.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.4,0.2,-1.6,248.3,14.8599015,-91.50807279,2023-08-03 02:50:00
36,02:55:00,13.1,13.1,13.2,88.0,88.0,88.0,0.8,0.0,0.0,212.0,0.0,14.2,42.0,770.8,770.8,770.8,40.0,17.4,0.2,-1.5,248.3,14.8599015,-91.50807279,2023-08-03 02:55:00
37,03:00:00,13.2,13.2,13.2,88.0,87.0,88.0,0.4,0.0,1.4,175.0,0.0,14.2,42.0,770.8,770.7,770.7,40.0,17.4,0.2,-1.4,248.3,14.8599015,-91.50807279,2023-08-03 03:00:00
38,03:05:00,13.2,13.2,13.3,87.0,87.0,88.0,1.8,0.0,1.8,175.0,0.0,14.2,42.0,770.7,770.7,770.7,40.0,17.4,0.2,-1.5,248.3,14.8599015,-91.50807279,2023-08-03 03:05:00
39,03:10:00,13.2,13.2,13.2,88.0,88.0,88.0,0.4,0.0,0.0,114.0,0.0,14.2,42.0,770.7,770.7,770.7,40.0,17.4,0.2,-1.8,248.3,14.8599015,-91.50807279,2023-08-03 03:10:00
40,03:15:00,13.1,13.1,13.1,88.0,88.0,89.0,0.1,0.0,1.6,113.0,0.0,14.2,42.0,770.7,770.7,770.7,40.0,17.3,0.2,-1.8,248.3,14.8599015,-91.50807279,2023-08-03 03:15:00
41,03:25:00,13.0,13.0,13.0,89.0,89.0,89.0,1.3,0.0,3.0,355.0,0.0,14.2,42.0,770.7,770.6,770.6,40.0,17.3,0.2,-1.6,248.3,14.8599015,-91.50807279,2023-08-03 03:25:00
