No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:05:00,11.4,11.4,11.4,92.0,92.0,93.0,0.0,0.0,0.0,270.0,0.0,9.4,50.4,745.8,745.8,745.8,25.0,19.2,0.2,-2.2,55.3,14.98341,-91.57365,2023-08-03 00:05:00
2,00:15:00,11.2,11.2,11.3,93.0,93.0,93.0,0.0,0.0,0.0,270.0,0.0,9.4,50.4,745.7,745.6,745.6,25.0,19.2,0.2,-2.0,55.3,14.98341,-91.57365,2023-08-03 00:15:00
3,00:20:00,11.2,11.2,11.2,94.0,93.0,94.0,0.0,0.0,0.0,270.0,0.0,9.4,50.4,745.6,745.5,745.5,25.0,19.2,0.2,-2.8,55.3,14.98341,-91.57365,2023-08-03 00:20:00
4,00:25:00,11.1,11.1,11.2,94.0,93.0,94.0,0.0,0.0,0.0,270.0,0.0,9.4,50.4,745.4,745.4,745.4,25.0,19.2,0.2,-3.6,55.3,14.98341,-91.57365,2023-08-03 00:25:00
5,00:35:00,10.8,10.8,10.9,93.0,93.0,93.0,0.1,0.0,1.2,44.0,0.0,9.4,50.4,745.4,745.4,745.4,25.0,19.2,0.2,-4.5,55.3,14.98341,-91.57365,2023-08-03 00:35:00
6,00:40:00,10.7,10.5,10.8,93.0,93.0,94.0,1.1,0.0,2.7,198.0,0.0,9.4,50.4,745.4,745.3,745.3,25.0,19.2,0.2,-4.2,55.3,14.98341,-91.57365,2023-08-03 00:40:00
7,00:50:00,10.2,10.2,10.3,94.0,94.0,95.0,1.7,0.0,0.0,203.0,0.0,9.4,50.4,745.3,745.3,745.3,25.0,19.1,0.2,-2.8,55.3,14.98341,-91.57365,2023-08-03 00:50:00
8,00:55:00,10.2,10.2,10.2,95.0,95.0,95.0,0.0,0.0,0.0,270.0,0.0,9.4,50.4,745.2,745.2,745.2,25.0,19.1,0.2,-1.4,55.3,14.98341,-91.57365,2023-08-03 00:55:00
9,01:05:00,10.3,10.2,10.4,96.0,96.0,96.0,1.3,0.0,0.0,74.0,0.0,9.4,50.4,745.1,745.1,745.1,25.0,19.1,0.2,-0.6,55.3,14.98341,-91.57365,2023-08-03 01:05:00
10,01:10:00,10.5,10.4,10.8,95.0,95.0,96.0,4.2,0.0,2.9,92.0,0.0,9.4,50.4,745.1,745.0,745.0,25.0,19.1,0.2,-0.8,55.3,14.98341,-91.57365,2023-08-03 01:10:00
