No., time, AT, AT_MIN, AT_MAX, RH, RH_MIN, RH_MAX, WS, WS_MIN, WS_MAX, WD, RainDaily, RainMonthly, RainYearly, AP, AP_MIN, AP_MAX, SM, ST, LW, SR, HRSSUN,Latitud ,Longitud,datetime
1,00:00:00,15.1,15.1,15.1,96.0,95.0,96.0,7.3,2.9,7.2,104.0,555.0,1462.0,3749.2,800.0,800.0,800.0,47.0,20.6,1.3,-4.8,189.8,15.05016,-91.15395,2023-08-03 00:00:00
2,00:05:00,15.1,15.1,15.1,95.0,95.0,95.0,6.8,4.5,5.2,103.0,0.0,1462.0,3749.2,800.0,800.0,800.0,47.0,20.6,1.3,-5.1,189.8,15.05016,-91.15395,2023-08-03 00:05:00
3,00:10:00,15.1,15.1,15.1,95.0,95.0,95.0,6.4,3.3,4.3,108.0,0.0,1462.0,3749.2,800.0,800.0,800.0,47.0,20.6,1.3,-4.8,189.8,15.05016,-91.15395,2023-08-03 00:10:00
4,00:15:00,15.1,15.1,15.1,95.0,95.0,95.0,5.9,2.3,10.4,109.0,1.0,1463.0,3750.2,799.9,799.9,799.9,47.0,20.5,1.3,-5.0,189.8,15.05016,-91.15395,2023-08-03 00:15:00
5,00:20:00,15.1,15.1,15.1,95.0,95.0,95.0,5.8,2.9,5.2,110.0,1.0,1463.0,3750.2,799.8,799.8,799.8,47.0,20.6,1.3,-5.3,189.8,15.05016,-91.15395,2023-08-03 00:20:00
6,00:25:00,15.1,15.1,15.1,95.0,95.0,96.0,6.0,2.0,6.1,110.0,1.0,1463.0,3750.2,799.7,799.7,799.7,47.0,20.5,1.3,-4.6,189.8,15.05016,-91.15395,2023-08-03 00:25:00
7,00:30:00,15.1,15.1,15.1,96.0,96.0,96.0,5.7,3.1,6.7,112.0,1.0,1463.0,3750.2,799.7,799.7,799.7,47.0,20.5,1.3,-4.4,189.8,15.05016,-91.15395,2023-08-03 00:30:00
8,00:35:00,15.1,15.1,15.1,96.0,96.0,96.0,8.3,3.3,10.8,113.0,1.4,1463.4,3750.6,799.7,799.7,799.7,47.0,20.5,1.3,-4.9,189.8,15.05016,-91.15395,2023-08-03 00:35:00
9,00:40:00,15.1,15.1,15.1,96.0,96.0,96.0,6.3,3.4,4.2,111.0,1.4,1463.4,3750.6,799.6,799.6,799.6,47.0,20.5,1.3,-4.6,189.8,15.05016,-91.15395,2023-08-03 00:40:00
10,00:45:00,15.1,15.1,15.1,96.0,96.0,96.0,6.2,2.7,5.4,115.0,1.4,1463.4,3750.6,799.6,799.6,799.6,47.0,20.4,1.3,-4.3,189.8,15.05016,-91.15395,2023-08-03 00:45:00
